Truck_id,Route_id,Pick_station,Drop_station
0,0,"(625, 0, 50)","(375, 0, 200)"
1,1,"(125, 0, 150)","(625, 0, 200)"
2,2,"(375, 0, 200)","(625, 0, 0)"
3,3,"(375, 0, 200)","(625, 0, 0)"
4,4,"(375, 0, 100)","(625, 0, 200)"
5,5,"(625, 0, 0)","(375, 0, 200)"
6,6,"(125, 0, 200)","(375, 0, 50)"
7,7,"(125, 0, 200)","(375, 0, 50)"
8,8,"(125, 0, 150)","(375, 0, 200)"
9,9,"(625, 0, 50)","(625, 0, 200)"
10,10,"(375, 0, 100)","(375, 0, 200)"
11,11,"(375, 0, 200)","(125, 0, 0)"
12,12,"(625, 0, 200)","(625, 0, 0)"
13,13,"(625, 0, 50)","(375, 0, 200)"
14,14,"(125, 0, 0)","(375, 0, 200)"
15,15,"(375, 0, 200)","(625, 0, 0)"
16,16,"(125, 0, 100)","(375, 0, 200)"
17,17,"(625, 0, 200)","(375, 0, 0)"
18,18,"(375, 0, 200)","(625, 0, 150)"
19,19,"(625, 0, 100)","(625, 0, 200)"
20,20,"(125, 0, 50)","(375, 0, 200)"
21,21,"(125, 0, 200)","(125, 0, 150)"
22,22,"(625, 0, 100)","(125, 0, 200)"
23,23,"(625, 0, 200)","(125, 0, 0)"
24,24,"(375, 0, 150)","(125, 0, 200)"
25,25,"(625, 0, 150)","(375, 0, 200)"
26,26,"(125, 0, 200)","(625, 0, 100)"
27,27,"(125, 0, 200)","(625, 0, 150)"
28,28,"(625, 0, 150)","(375, 0, 200)"
29,29,"(125, 0, 200)","(125, 0, 50)"
30,30,"(125, 0, 150)","(375, 0, 200)"
31,31,"(375, 0, 150)","(625, 0, 200)"
32,32,"(625, 0, 100)","(125, 0, 200)"
33,33,"(125, 0, 150)","(375, 0, 200)"
34,34,"(625, 0, 150)","(125, 0, 200)"
35,35,"(375, 0, 100)","(625, 0, 200)"
36,36,"(625, 0, 150)","(625, 0, 200)"
37,37,"(375, 0, 50)","(125, 0, 200)"
38,38,"(125, 0, 200)","(375, 0, 50)"
39,39,"(375, 0, 200)","(125, 0, 100)"
