Truck_id,Route_id,Pick_station,Drop_station
0,0,"(525, 0, 0)","(375, 0, 450)","(375, 0, 450)","(375, 0, 0)"
1,1,"(600, 0, 150)","(0, 0, 150)","(0, 0, 150)","(150, 0, 150)","(150, 0, 150)","(600, 0, 0)"
2,2,"(0, 0, 0)","(300, 0, 75)"
3,3,"(300, 0, 0)","(0, 0, 300)"
4,4,"(0, 0, 450)","(225, 0, 0)"
5,5,"(150, 0, 0)","(300, 0, 75)"
6,6,"(0, 0, 150)","(0, 0, 375)"
7,7,"(450, 0, 450)","(600, 0, 300)","(600, 0, 300)","(525, 0, 0)"
8,8,"(75, 0, 0)","(600, 0, 75)"
9,9,"(150, 0, 0)","(600, 0, 450)","(600, 0, 450)","(525, 0, 0)"
10,10,"(300, 0, 75)","(600, 0, 75)"
11,11,"(600, 0, 75)","(450, 0, 75)"
12,12,"(450, 0, 0)","(0, 0, 150)","(0, 0, 150)","(75, 0, 450)","(75, 0, 450)","(300, 0, 450)","(300, 0, 450)","(300, 0, 375)"
13,13,"(300, 0, 0)","(150, 0, 450)"
14,14,"(0, 0, 450)","(600, 0, 150)"
15,15,"(225, 0, 450)","(600, 0, 450)","(600, 0, 450)","(450, 0, 75)"
16,16,"(225, 0, 450)","(600, 0, 225)","(600, 0, 225)","(450, 0, 225)"
17,17,"(525, 0, 450)","(450, 0, 300)"
18,18,"(300, 0, 225)","(0, 0, 375)"
19,19,"(600, 0, 75)","(450, 0, 150)"
