Truck_id,Route_id,Pick_station,Drop_station
0,0,"(625, 0, 200)","(125, 0, 50)"
1,1,"(375, 0, 50)","(375, 0, 200)"
2,2,"(125, 0, 0)","(625, 0, 200)"
3,3,"(375, 0, 200)","(125, 0, 100)"
4,4,"(625, 0, 50)","(125, 0, 200)"
5,5,"(125, 0, 100)","(125, 0, 200)"
6,6,"(375, 0, 200)","(375, 0, 100)"
7,7,"(625, 0, 200)","(375, 0, 50)"
8,8,"(625, 0, 150)","(625, 0, 200)"
9,9,"(125, 0, 150)","(125, 0, 200)"
10,10,"(625, 0, 100)","(125, 0, 200)"
11,11,"(125, 0, 200)","(375, 0, 0)"
12,12,"(375, 0, 200)","(625, 0, 150)"
13,13,"(375, 0, 0)","(125, 0, 200)"
14,14,"(375, 0, 150)","(125, 0, 200)"
15,15,"(375, 0, 150)","(625, 0, 200)"
16,16,"(375, 0, 200)","(125, 0, 150)"
17,17,"(625, 0, 50)","(375, 0, 200)"
18,18,"(375, 0, 200)","(625, 0, 0)"
19,19,"(375, 0, 200)","(625, 0, 100)"
20,20,"(625, 0, 200)","(625, 0, 100)"
21,21,"(125, 0, 0)","(625, 0, 200)"
22,22,"(375, 0, 150)","(125, 0, 200)"
23,23,"(125, 0, 200)","(125, 0, 100)"
24,24,"(625, 0, 150)","(625, 0, 200)"
25,25,"(625, 0, 0)","(125, 0, 200)"
26,26,"(375, 0, 200)","(125, 0, 50)"
27,27,"(375, 0, 50)","(125, 0, 200)"
28,28,"(375, 0, 100)","(625, 0, 200)"
29,29,"(625, 0, 200)","(125, 0, 0)"
30,30,"(375, 0, 200)","(125, 0, 50)"
31,31,"(125, 0, 200)","(625, 0, 0)"
32,32,"(375, 0, 200)","(125, 0, 150)"
33,33,"(375, 0, 100)","(375, 0, 200)"
34,34,"(625, 0, 200)","(625, 0, 50)"
