Truck_id,Route_id,Pick_station,Drop_station
0,0,"(125, 0, 200)","(625, 0, 100)"
1,1,"(625, 0, 200)","(125, 0, 0)"
2,2,"(625, 0, 150)","(375, 0, 200)"
3,3,"(125, 0, 150)","(625, 0, 200)"
4,4,"(625, 0, 0)","(375, 0, 200)"
5,5,"(375, 0, 200)","(625, 0, 50)"
6,6,"(125, 0, 50)","(375, 0, 200)"
7,7,"(625, 0, 200)","(125, 0, 150)"
8,8,"(375, 0, 200)","(375, 0, 100)"
9,9,"(375, 0, 0)","(125, 0, 200)"
10,10,"(375, 0, 50)","(375, 0, 200)"
11,11,"(125, 0, 200)","(375, 0, 150)"
12,12,"(625, 0, 50)","(625, 0, 200)"
13,13,"(625, 0, 150)","(375, 0, 200)"
14,14,"(625, 0, 100)","(375, 0, 200)"
15,15,"(375, 0, 50)","(625, 0, 200)"
16,16,"(625, 0, 200)","(125, 0, 100)"
17,17,"(625, 0, 200)","(625, 0, 150)"
18,18,"(375, 0, 200)","(375, 0, 150)"
19,19,"(125, 0, 0)","(125, 0, 200)"
20,20,"(125, 0, 200)","(125, 0, 50)"
21,21,"(625, 0, 200)","(375, 0, 0)"
22,22,"(125, 0, 100)","(125, 0, 200)"
23,23,"(625, 0, 0)","(125, 0, 200)"
24,24,"(375, 0, 100)","(125, 0, 200)"
