Truck_id,Route_id,Pick_station,Drop_station
0,0,"(125, 0, 200)","(625, 0, 0)"
1,1,"(375, 0, 150)","(375, 0, 200)"
2,2,"(625, 0, 100)","(375, 0, 200)"
3,3,"(125, 0, 200)","(125, 0, 150)"
4,4,"(125, 0, 200)","(125, 0, 0)"
5,5,"(375, 0, 200)","(625, 0, 50)"
6,6,"(375, 0, 200)","(375, 0, 0)"
7,7,"(625, 0, 200)","(125, 0, 50)"
8,8,"(125, 0, 50)","(125, 0, 200)"
9,9,"(625, 0, 50)","(125, 0, 200)"
10,10,"(125, 0, 200)","(375, 0, 100)"
11,11,"(625, 0, 200)","(625, 0, 0)"
12,12,"(625, 0, 0)","(125, 0, 200)"
13,13,"(625, 0, 100)","(375, 0, 200)"
14,14,"(625, 0, 150)","(625, 0, 200)"
15,15,"(625, 0, 200)","(375, 0, 50)"
16,16,"(375, 0, 150)","(375, 0, 200)"
17,17,"(375, 0, 100)","(625, 0, 200)"
18,18,"(375, 0, 200)","(375, 0, 50)"
19,19,"(125, 0, 200)","(125, 0, 100)"
20,20,"(625, 0, 200)","(625, 0, 150)"
21,21,"(375, 0, 200)","(375, 0, 0)"
22,22,"(125, 0, 100)","(625, 0, 200)"
23,23,"(625, 0, 200)","(125, 0, 0)"
24,24,"(125, 0, 200)","(125, 0, 150)"
