Truck_id,Route_id,Pick_station,Drop_station
0,0,"(625, 0, 150)","(125, 0, 200)"
1,1,"(125, 0, 200)","(125, 0, 50)"
2,2,"(375, 0, 0)","(625, 0, 200)"
3,3,"(375, 0, 150)","(125, 0, 200)"
4,4,"(125, 0, 100)","(625, 0, 200)"
5,5,"(625, 0, 200)","(375, 0, 100)"
6,6,"(625, 0, 200)","(625, 0, 0)"
7,7,"(625, 0, 150)","(375, 0, 200)"
8,8,"(625, 0, 200)","(125, 0, 0)"
9,9,"(125, 0, 0)","(125, 0, 200)"
10,10,"(125, 0, 200)","(625, 0, 100)"
11,11,"(375, 0, 150)","(375, 0, 200)"
12,12,"(125, 0, 50)","(375, 0, 200)"
13,13,"(375, 0, 100)","(125, 0, 200)"
14,14,"(375, 0, 200)","(375, 0, 50)"
15,15,"(625, 0, 200)","(625, 0, 0)"
16,16,"(625, 0, 50)","(375, 0, 200)"
17,17,"(125, 0, 150)","(625, 0, 200)"
18,18,"(375, 0, 200)","(625, 0, 100)"
19,19,"(375, 0, 200)","(375, 0, 0)"
