Truck_id,Route_id,Pick_station,Drop_station
0,0,"(625, 0, 200)","(375, 0, 0)"
1,1,"(125, 0, 150)","(625, 0, 200)"
2,2,"(375, 0, 50)","(125, 0, 200)"
3,3,"(125, 0, 100)","(375, 0, 200)"
4,4,"(125, 0, 200)","(625, 0, 0)"
5,5,"(375, 0, 200)","(625, 0, 150)"
6,6,"(375, 0, 150)","(375, 0, 200)"
7,7,"(625, 0, 150)","(375, 0, 200)"
8,8,"(375, 0, 200)","(125, 0, 150)"
9,9,"(375, 0, 100)","(375, 0, 200)"
10,10,"(375, 0, 200)","(125, 0, 50)"
11,11,"(125, 0, 0)","(125, 0, 200)"
12,12,"(125, 0, 0)","(625, 0, 200)"
13,13,"(125, 0, 50)","(625, 0, 200)"
14,14,"(625, 0, 200)","(375, 0, 0)"
15,15,"(625, 0, 200)","(375, 0, 100)"
16,16,"(625, 0, 0)","(125, 0, 200)"
17,17,"(375, 0, 200)","(375, 0, 50)"
18,18,"(125, 0, 200)","(625, 0, 50)"
19,19,"(125, 0, 200)","(625, 0, 100)"
20,20,"(625, 0, 200)","(625, 0, 50)"
21,21,"(125, 0, 200)","(625, 0, 100)"
22,22,"(375, 0, 150)","(625, 0, 200)"
23,23,"(375, 0, 200)","(125, 0, 100)"
24,24,"(125, 0, 200)","(125, 0, 150)"
