Truck_id,Route_id,Pick_station,Drop_station
0,0,"(625, 0, 0)","(125, 0, 200)"
1,1,"(625, 0, 200)","(625, 0, 150)"
2,2,"(625, 0, 200)","(125, 0, 150)"
3,3,"(125, 0, 100)","(625, 0, 200)"
4,4,"(375, 0, 100)","(125, 0, 200)"
5,5,"(375, 0, 200)","(625, 0, 0)"
6,6,"(375, 0, 200)","(125, 0, 0)"
7,7,"(375, 0, 0)","(125, 0, 200)"
8,8,"(625, 0, 200)","(125, 0, 100)"
9,9,"(125, 0, 200)","(125, 0, 150)"
10,10,"(625, 0, 50)","(375, 0, 200)"
11,11,"(125, 0, 50)","(625, 0, 200)"
12,12,"(625, 0, 100)","(625, 0, 200)"
13,13,"(625, 0, 150)","(375, 0, 200)"
14,14,"(375, 0, 150)","(375, 0, 200)"
15,15,"(125, 0, 200)","(375, 0, 100)"
16,16,"(125, 0, 200)","(375, 0, 150)"
17,17,"(625, 0, 50)","(125, 0, 200)"
18,18,"(375, 0, 200)","(625, 0, 150)"
19,19,"(375, 0, 200)","(125, 0, 0)"
20,20,"(625, 0, 200)","(125, 0, 50)"
21,21,"(625, 0, 100)","(125, 0, 200)"
22,22,"(375, 0, 50)","(625, 0, 200)"
23,23,"(625, 0, 200)","(375, 0, 0)"
24,24,"(375, 0, 200)","(375, 0, 50)"
