Truck_id,Route_id,Pick_station,Drop_station
0,0,"(375, 0, 200)","(375, 0, 50)"
1,1,"(125, 0, 200)","(375, 0, 0)"
2,2,"(125, 0, 200)","(625, 0, 50)"
3,3,"(125, 0, 200)","(375, 0, 100)"
4,4,"(125, 0, 150)","(375, 0, 200)"
5,5,"(625, 0, 200)","(375, 0, 0)"
6,6,"(125, 0, 200)","(125, 0, 100)"
7,7,"(375, 0, 0)","(625, 0, 200)"
8,8,"(625, 0, 100)","(375, 0, 200)"
9,9,"(625, 0, 200)","(625, 0, 150)"
10,10,"(375, 0, 200)","(625, 0, 0)"
11,11,"(125, 0, 200)","(125, 0, 100)"
12,12,"(625, 0, 50)","(625, 0, 200)"
13,13,"(625, 0, 200)","(625, 0, 100)"
14,14,"(125, 0, 200)","(375, 0, 150)"
15,15,"(375, 0, 200)","(375, 0, 50)"
16,16,"(125, 0, 200)","(625, 0, 150)"
17,17,"(125, 0, 200)","(125, 0, 0)"
18,18,"(625, 0, 0)","(625, 0, 200)"
19,19,"(375, 0, 200)","(125, 0, 50)"
20,20,"(625, 0, 200)","(125, 0, 100)"
21,21,"(125, 0, 150)","(375, 0, 200)"
22,22,"(125, 0, 0)","(625, 0, 200)"
23,23,"(375, 0, 200)","(625, 0, 150)"
24,24,"(375, 0, 150)","(375, 0, 200)"
25,25,"(375, 0, 200)","(125, 0, 0)"
26,26,"(625, 0, 100)","(625, 0, 200)"
27,27,"(125, 0, 50)","(125, 0, 200)"
28,28,"(125, 0, 200)","(375, 0, 50)"
29,29,"(625, 0, 200)","(375, 0, 100)"
